efo_id	label	synonyms	source
OBA:2058424	level of vigilin (human) in cerebrospinal fluid	cerebrospinal fluid vigilin (human) amount	efo-obo-measurement-branch
OBA:2058425	level of transcription initiation factor IIB (human) in cerebrospinal fluid	cerebrospinal fluid transcription initiation factor IIB (human) amount	efo-obo-measurement-branch
OBA:2058426	level of cyclin-dependent kinase 16 (human) in cerebrospinal fluid	cerebrospinal fluid cyclin-dependent kinase 16 (human) amount	efo-obo-measurement-branch
OBA:2058427	level of transcriptional activator protein Pur-alpha (human) in cerebrospinal fluid	cerebrospinal fluid transcriptional activator protein Pur-alpha (human) amount	efo-obo-measurement-branch
OBA:2058428	level of norrin (human) in cerebrospinal fluid	cerebrospinal fluid norrin (human) amount	efo-obo-measurement-branch
OBA:2058429	level of clathrin heavy chain 1 (human) in cerebrospinal fluid	cerebrospinal fluid clathrin heavy chain 1 (human) amount	efo-obo-measurement-branch
OBA:2058430	level of heat shock factor protein 1 (human) in cerebrospinal fluid	cerebrospinal fluid heat shock factor protein 1 (human) amount	efo-obo-measurement-branch
OBA:2058431	level of sorbitol dehydrogenase (human) in cerebrospinal fluid	cerebrospinal fluid sorbitol dehydrogenase (human) amount	efo-obo-measurement-branch
OBA:2058432	level of myosin-binding protein C, slow-type (human) in cerebrospinal fluid	cerebrospinal fluid myosin-binding protein C, slow-type (human) amount	efo-obo-measurement-branch
OBA:2058433	level of pregnancy-specific beta-1-glycoprotein 4 (human) in cerebrospinal fluid	cerebrospinal fluid pregnancy-specific beta-1-glycoprotein 4 (human) amount	efo-obo-measurement-branch
OBA:2058434	level of pregnancy-specific beta-1-glycoprotein 6 (human) in cerebrospinal fluid	cerebrospinal fluid pregnancy-specific beta-1-glycoprotein 6 (human) amount	efo-obo-measurement-branch
OBA:2058435	level of beta-1,4 N-acetylgalactosaminyltransferase 1 (human) in cerebrospinal fluid	cerebrospinal fluid beta-1,4 N-acetylgalactosaminyltransferase 1 (human) amount	efo-obo-measurement-branch
OBA:2058436	level of interferon regulatory factor 9 (human) in cerebrospinal fluid	cerebrospinal fluid interferon regulatory factor 9 (human) amount	efo-obo-measurement-branch
OBA:2058437	level of E3 ubiquitin-protein ligase Mdm2 (human) in cerebrospinal fluid	cerebrospinal fluid E3 ubiquitin-protein ligase Mdm2 (human) amount	efo-obo-measurement-branch
OBA:2058438	level of dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B (human) in cerebrospinal fluid	cerebrospinal fluid dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B (human) amount	efo-obo-measurement-branch
OBA:2058439	level of nucleolysin TIAR (human) in cerebrospinal fluid	cerebrospinal fluid nucleolysin TIAR (human) amount	efo-obo-measurement-branch
